target_drug,target_group,target_role,pt,a,b,c,d,expected,n_drug,n_event,N,prr,ror,ror_ci_lower,ror_ci_upper,chi2,pval,pval_adj,fdr_sig,ebgm,eb05,eb95,ic,ic025,criteria_met,is_signal,signal_strength,n_cases,death_rate,serious_rate,median_age,gt_severity,pt_severity,llm_severity,llm_reasoning,final_severity,calib_source
amlodipine,negative_control,neg,ANGINA UNSTABLE,6,5746,141,1403394,0.5999799898814081,5752,147,1409287,11.2069,11.2185,5.1085,24.6363,40.1865,2.3083511495617262e-10,7.124540585067056e-10,1,8.7779,4.3172,16.3031,2.563,1.4086,4,1,Moderate,15,0.06666666666666667,0.9333333333333333,66.0,MODERATE,MODERATE,SEVERE,Life-threatening cardiac condition requiring immediate hospitalization,SEVERE,conservative
amlodipine,negative_control,neg,ANGIOEDEMA,96,5656,2536,1400999,10.742498866448068,5752,2632,1409287,9.2816,9.4229,7.6767,11.5663,672.7273,2.5498253374319022e-148,3.6585528917432447e-147,1,8.8669,7.4752,10.4556,3.1016,2.813,4,1,Moderate,180,0.03333333333333333,0.6777777777777778,60.0,MILD,MILD,SEVERE,"Potentially life-threatening swelling affecting airway, requires urgent treatment",SEVERE,conservative
amlodipine,negative_control,neg,ANGIOPATHY,9,5743,269,1403266,1.1346560352859283,5752,278,1409287,8.5999,8.6125,4.5072,16.457,48.0157,4.228091391015245e-12,1.4077730929452567e-11,1,7.3929,4.1595,12.3588,2.5389,1.5964,4,1,Moderate,20,0.045454545454545456,0.6818181818181818,62.0,MODERATE,MODERATE,MODERATE,Vascular disorder requiring medical evaluation and ongoing monitoring,MODERATE,consensus
amlodipine,negative_control,neg,ANOSOGNOSIA,5,5747,49,1403486,0.22040081260949687,5752,54,1409287,27.1073,27.1323,11.239,65.5007,83.4422,6.560581781155779e-20,2.8253600371400797e-19,1,16.304,7.4745,31.9352,2.9326,1.668,4,1,Moderate,5,0.0,1.0,54.0,SEVERE,SEVERE,MODERATE,Neurological condition requiring medical assessment and management,SEVERE,conservative
amlodipine,negative_control,neg,ANTACID THERAPY,4,5748,20,1403515,0.09795591671533194,5752,24,1409287,53.5535,53.5946,19.3131,148.7271,118.6405,1.2554233824503148e-27,6.472385491486244e-27,1,21.6264,9.0131,45.445,2.9118,1.498,4,1,Strong,9,1.0,1.0,80.0,,,MILD,"Therapeutic intervention, not an adverse event itself",MILD,llm_only
amlodipine,negative_control,neg,ANTICOAGULANT THERAPY,5,5747,27,1403508,0.13060788895377592,5752,32,1409287,48.7932,48.8389,19.5436,122.0473,146.7772,8.778692987313342e-34,5.0383549246253616e-33,1,22.9517,10.5222,44.9563,3.1246,1.86,4,1,Strong,10,1.0,1.0,80.0,,,MILD,"Therapeutic intervention, not an adverse event itself",MILD,llm_only
amlodipine,negative_control,neg,ANURIA,17,5735,331,1403204,1.4203607923723132,5752,348,1409287,12.879,12.9153,7.9803,20.9021,160.7928,7.593238814980538e-37,4.571439694733181e-36,1,11.2907,7.4635,16.5277,3.1879,2.5021,4,1,Moderate,36,0.1388888888888889,0.6111111111111112,64.0,SEVERE,SEVERE,SEVERE,"Complete absence of urine production, life-threatening kidney failure",SEVERE,consensus
amlodipine,negative_control,neg,AORTIC ARTERIOSCLEROSIS,6,5746,152,1403383,0.6448764517092685,5752,158,1409287,10.3985,10.4092,4.7459,22.8306,36.707,1.3728527811483706e-09,4.070267039585621e-09,1,8.2413,4.0533,15.3065,2.5052,1.3509,4,1,Moderate,16,0.25,0.8125,71.0,SEVERE,SEVERE,MODERATE,Cardiovascular condition requiring medical monitoring and management,SEVERE,conservative
amlodipine,negative_control,neg,AORTIC STENOSIS,21,5731,220,1403315,0.9836406636831249,5752,241,1409287,23.7881,23.8735,15.3203,37.202,388.8764,1.453726778358842e-86,1.4557006096940202e-85,1,19.6116,13.5293,27.6787,3.8571,3.2401,4,1,Strong,42,0.5952380952380952,0.7619047619047619,80.0,FATAL,SEVERE,SEVERE,Life-threatening cardiac valve disease requiring intervention,FATAL,conservative
amlodipine,negative_control,neg,AORTIC VALVE INCOMPETENCE,8,5744,202,1403333,0.8571142712591544,5752,210,1409287,10.2405,10.2542,5.1601,20.3772,51.703,6.456397288459622e-13,2.2266041619073984e-12,1,8.5045,4.6148,14.6326,2.6469,1.6472,4,1,Moderate,18,0.16666666666666666,0.7777777777777778,62.5,MODERATE,MODERATE,SEVERE,Life-threatening cardiac valve dysfunction requiring medical intervention,SEVERE,conservative
amlodipine,negative_control,neg,APHASIA,52,5700,1671,1401864,7.032418520854872,5752,1723,1409287,7.6627,7.7241,5.8614,10.1786,282.6766,1.960361666058699e-63,1.619906698844023e-62,1,7.3079,5.7874,9.1281,2.8011,2.409,4,1,Moderate,96,0.030927835051546393,0.8041237113402062,65.0,MODERATE,MODERATE,MODERATE,Neurological impairment requiring medical evaluation and rehabilitation,MODERATE,consensus
amlodipine,negative_control,neg,APPENDICOLITH,15,5737,59,1403476,0.3020307432056068,5752,74,1409287,63.5542,63.7231,36.4161,111.5068,670.1937,9.067553133528894e-148,1.2959923325537906e-146,1,38.4251,24.7081,57.5741,4.2725,3.5424,4,1,Strong,25,1.0,1.0,80.0,FATAL,FATAL,MODERATE,Appendiceal condition requiring medical evaluation for potential complications,FATAL,conservative
amlodipine,negative_control,neg,ARTERIAL OCCLUSIVE DISEASE,48,5704,379,1403156,1.7427990182269475,5752,427,1409287,31.1788,31.4354,23.2876,42.4338,1206.6447,2.1939658270879926e-264,4.7450140688486646e-263,1,26.2207,20.564,33.042,4.4346,4.0265,4,1,Strong,68,0.058823529411764705,0.7941176470588235,65.0,MODERATE,MODERATE,SEVERE,Life-threatening vascular condition causing tissue ischemia,SEVERE,conservative
amlodipine,negative_control,neg,ARTERIOSCLEROSIS CORONARY ARTERY,22,5730,465,1403070,1.9876888100152772,5752,487,1409287,11.7921,11.8345,7.7458,18.0814,192.3957,9.537196267392956e-44,6.359568035445122e-43,1,10.6139,7.3867,14.8666,3.177,2.5742,4,1,Moderate,39,0.23076923076923078,0.717948717948718,64.0,SEVERE,SEVERE,MODERATE,Cardiovascular condition requiring ongoing medical management,SEVERE,conservative
amlodipine,negative_control,neg,ASPIRATION,25,5727,713,1402822,3.012144438996457,5752,738,1409287,8.7192,8.7535,5.892,13.0049,153.9976,2.318709413678984e-35,1.3653079381942122e-34,1,8.0754,5.7511,11.0868,2.8601,2.2945,4,1,Moderate,42,0.4883720930232558,0.9069767441860465,55.0,FATAL,SEVERE,SEVERE,Life-threatening condition requiring immediate intervention to prevent respiratory compromise,FATAL,conservative
amlodipine,negative_control,neg,ASTHMA,298,5454,11534,1392001,48.29226694065864,5752,11832,1409287,6.3136,6.6044,5.8696,7.4311,1302.2167,3.728287974440393e-285,8.728928194126316e-284,1,6.1603,5.5952,6.7696,2.613,2.4492,4,1,Moderate,568,0.01916376306620209,0.4721254355400697,65.0,MODERATE,MODERATE,MODERATE,Chronic respiratory condition requiring medical management and monitoring,MODERATE,consensus
amlodipine,negative_control,neg,ASTHMA-CHRONIC OBSTRUCTIVE PULMONARY DISEASE OVERLAP SYNDROME,20,5732,48,1403487,0.27754176402677383,5752,68,1409287,103.1196,103.4848,61.7095,173.5408,1336.8623,1.103117754557527e-292,2.6243527225360522e-291,1,54.6042,37.3153,77.6939,4.7206,4.0883,4,1,Strong,23,0.0,0.8695652173913043,63.0,MODERATE,MODERATE,MODERATE,Chronic respiratory condition requiring ongoing medical management and monitoring,MODERATE,consensus
amlodipine,negative_control,neg,ATAXIA,21,5731,555,1402980,2.3509420011679665,5752,576,1409287,9.4424,9.4741,6.1532,14.5873,140.7408,1.8332508384441222e-32,1.0285450691156638e-31,1,8.6244,5.9496,12.1719,2.9148,2.2978,4,1,Moderate,43,0.0,0.3953488372093023,52.0,MILD,MILD,MODERATE,"Coordination disorder affecting mobility, requires medical evaluation and intervention",MODERATE,conservative
amlodipine,negative_control,neg,ATRIAL TACHYCARDIA,5,5747,112,1403423,0.4775350939872432,5752,117,1409287,11.9272,11.9377,5.0702,28.1072,34.0245,5.442305004892279e-09,1.5559992018251815e-08,1,8.9121,4.0857,17.4565,2.4922,1.2276,4,1,Moderate,13,0.0,0.46153846153846156,23.0,MILD,MILD,SEVERE,"Cardiac arrhythmia potentially life-threatening, may require urgent intervention",SEVERE,conservative
amlodipine,negative_control,neg,ATRIOVENTRICULAR BLOCK COMPLETE,12,5740,376,1403159,1.583620653564533,5752,388,1409287,8.0998,8.1153,4.6166,14.2655,62.3664,2.851424704209558e-15,1.0699189617677684e-14,1,7.2015,4.3874,11.2856,2.5848,1.7685,4,1,Moderate,26,0.38461538461538464,0.8076923076923077,78.0,FATAL,SEVERE,SEVERE,"Complete heart block is life-threatening, requires urgent cardiac intervention",FATAL,conservative
amlodipine,negative_control,neg,AUTOSCOPY,4,5748,69,1403466,0.2979492466758013,5752,73,1409287,15.7964,15.8079,6.0907,41.0282,34.5552,4.14343111464098e-09,1.196702740179253e-08,1,10.4667,4.3621,21.9943,2.4956,1.0817,4,1,Moderate,5,0.0,0.0,69.0,,,MODERATE,Visual hallucination requiring neurological evaluation and medical attention,MODERATE,llm_only
amlodipine,negative_control,neg,BACTERIURIA,3,5749,26,1403509,0.11836339936435943,5752,29,1409287,32.2219,32.2409,10.5722,98.3214,48.1192,4.010730420331189e-12,1.3372123349883598e-11,1,14.7119,5.3333,34.1425,2.5008,0.8683,4,1,Moderate,3,0.0,1.0,60.0,,,MILD,"Asymptomatic bacterial presence in urine, often self-limiting",MILD,llm_only
amlodipine,negative_control,neg,BACTEROIDES INFECTION,4,5748,34,1403501,0.1550968681326089,5752,38,1409287,31.8216,31.8458,11.9198,85.0816,72.4356,1.7257391348058462e-17,6.943440326892043e-17,1,16.5766,6.9085,34.8336,2.7801,1.3663,4,1,Moderate,12,1.0,1.0,80.0,,,MODERATE,Bacterial infection requiring antibiotic treatment and medical monitoring,MODERATE,llm_only
amlodipine,negative_control,neg,BALANCE DISORDER,110,5642,5457,1398078,22.721691181427204,5752,5567,1409287,4.9397,5.0168,4.1481,6.0674,334.1003,1.229568032299668e-74,1.1126459187987793e-73,1,4.8242,4.1137,5.6284,2.2505,1.9809,4,1,Moderate,359,0.06133333333333333,0.5253333333333333,73.0,MILD,MILD,MODERATE,"Affects daily function, requires medical evaluation for fall prevention",MODERATE,conservative
amlodipine,negative_control,neg,BENIGN NEOPLASM OF ADRENAL GLAND,3,5749,9,1403526,0.04897795835766597,5752,12,1409287,89.8822,89.9363,26.3977,306.4111,123.1611,1.2857219305940312e-28,6.76575043748197e-28,1,22.0772,8.0033,51.2354,2.6725,1.04,4,1,Strong,5,0.0,1.0,41.0,,,MODERATE,Requires monitoring and potential surgical intervention despite benign nature,MODERATE,llm_only
amlodipine,negative_control,neg,BENIGN PROSTATIC HYPERPLASIA,46,5706,236,1403299,1.1509820214051503,5752,282,1409287,47.9679,48.3507,35.2685,66.2855,1716.179,0.0,0.0,1,37.1169,28.9545,46.9994,4.8158,4.3989,4,1,Strong,68,0.029411764705882353,0.9117647058823529,80.0,MODERATE,MODERATE,MODERATE,Requires medical management for urinary symptoms and complications,MODERATE,consensus
amlodipine,negative_control,neg,BLISTER INFECTED,6,5746,68,1403467,0.3020307432056068,5752,74,1409287,23.1501,23.1751,10.363,51.8274,89.8287,2.5969542541825967e-21,1.1600567913141521e-20,1,15.4557,7.6015,28.7058,3.0187,1.8643,4,1,Moderate,11,0.0,0.0,63.0,,,MODERATE,Secondary infection requiring antibiotic treatment and wound care,MODERATE,llm_only
amlodipine,negative_control,neg,BLOOD ALBUMIN DECREASED,18,5734,439,1403096,1.8652439141211123,5752,457,1409287,10.2693,10.2992,6.4635,16.4114,131.6327,1.8003271814193936e-30,9.755630391600314e-30,1,9.2327,6.1769,13.3776,2.9675,2.301,4,1,Moderate,29,0.03333333333333333,0.3333333333333333,67.0,MODERATE,MODERATE,MODERATE,Abnormal lab value requiring monitoring and underlying cause investigation,MODERATE,consensus
amlodipine,negative_control,neg,BLOOD ALDOSTERONE DECREASED,5,5747,6,1403529,0.04489646182786047,5752,11,1409287,206.4327,206.6293,66.3587,643.4074,443.8979,1.5350579621837114e-98,1.6587622668285525e-97,1,37.5764,17.2268,73.6023,3.3354,2.0708,4,1,Strong,5,0.0,0.0,56.0,,,MODERATE,Hormonal abnormality requiring endocrine evaluation and monitoring,MODERATE,llm_only
amlodipine,negative_control,neg,BLOOD ALKALINE PHOSPHATASE DECREASED,16,5736,93,1403442,0.44488312174879924,5752,109,1409287,43.0528,43.1738,25.565,72.911,511.6019,2.842461759448509e-113,3.3811541090214117e-112,1,30.026,19.5887,44.4447,4.1262,3.4193,4,1,Strong,19,0.0,0.05263157894736842,48.0,MILD,MILD,MODERATE,Abnormal liver enzyme requiring monitoring and clinical correlation,MODERATE,conservative
amlodipine,negative_control,neg,BLOOD CALCIUM DECREASED,65,5687,675,1402860,3.020307432056068,5752,740,1409287,23.6562,23.9171,18.5341,30.8636,1257.2352,2.2219630518243273e-275,4.988425420762379e-274,1,20.9159,16.9849,25.5334,4.2177,3.867,4,1,Strong,103,0.02857142857142857,0.7047619047619048,77.0,MODERATE,MODERATE,MODERATE,Electrolyte abnormality requiring monitoring and potential supplementation,MODERATE,consensus
amlodipine,negative_control,neg,BLOOD CREATININE INCREASED,94,5658,3996,1399539,16.693320806904484,5752,4090,1409287,5.7687,5.8484,4.7612,7.1838,355.8719,2.2309267679884085e-79,2.0972702248456995e-78,1,5.6037,4.7156,6.6191,2.4585,2.1668,4,1,Moderate,358,0.06353591160220995,0.5303867403314917,66.0,MILD,MILD,MODERATE,Kidney function marker requiring monitoring and nephrology evaluation,MODERATE,conservative
amlodipine,negative_control,neg,BLOOD FOLLICLE STIMULATING HORMONE INCREASED,4,5748,12,1403523,0.06530394447688796,5752,16,1409287,87.8277,87.8957,29.9142,258.2601,181.3921,2.407008125061889e-41,1.5469877927957676e-40,1,26.1845,10.9127,55.0233,2.9928,1.579,4,1,Strong,4,0.0,0.0,59.0,,,MODERATE,Hormonal abnormality requiring endocrine evaluation and monitoring,MODERATE,llm_only
amlodipine,negative_control,neg,BLOOD GROWTH HORMONE INCREASED,9,5743,57,1403478,0.26937877096716284,5752,66,1409287,40.3074,40.3724,20.3123,80.2437,252.5215,7.32378088869244e-57,5.629274002512428e-56,1,25.2118,14.185,42.147,3.6262,2.6836,4,1,Strong,14,0.0,0.07142857142857142,62.0,,,MODERATE,Hormonal excess requiring endocrine evaluation and monitoring,MODERATE,llm_only
amlodipine,negative_control,neg,BLOOD IMMUNOGLOBULIN E INCREASED,11,5741,199,1403336,0.8571142712591544,5752,210,1409287,14.0632,14.0894,7.7715,25.5435,108.9472,1.6666356579707074e-25,8.1997584906831e-25,1,11.6718,6.9505,18.6367,3.083,2.2304,4,1,Moderate,16,0.0,0.4375,60.5,MILD,MILD,MODERATE,Immune marker elevation requiring allergy/immunology evaluation,MODERATE,conservative
amlodipine,negative_control,neg,BLOOD IMMUNOGLOBULIN G DECREASED,16,5736,424,1403111,1.795858473114419,5752,440,1409287,9.4828,9.5072,5.8099,15.5574,105.0373,1.1986076893736525e-24,5.7927468605050375e-24,1,8.5119,5.5531,12.5993,2.8454,2.1384,4,1,Moderate,35,0.02857142857142857,0.45714285714285713,47.0,MILD,MILD,MODERATE,Immune deficiency marker requiring immunological evaluation,MODERATE,conservative
amlodipine,negative_control,neg,BLOOD IRON INCREASED,6,5746,128,1403407,0.5469205349939367,5752,134,1409287,12.3407,12.3535,5.6155,27.1763,45.0447,1.9258618177468757e-11,6.245923881215132e-11,1,9.5096,4.677,17.662,2.6343,1.4799,4,1,Moderate,8,0.625,0.875,74.0,,,MODERATE,Iron overload requiring monitoring and potential chelation therapy,MODERATE,llm_only
amlodipine,negative_control,neg,BLOOD LACTIC ACID DECREASED,10,5742,6,1403529,0.06530394447688796,5752,16,1409287,394.0988,394.8176,148.3949,1050.4465,1368.6662,1.3532726444780404e-299,3.2669020468168733e-298,1,64.8749,37.6329,105.8186,4.2152,3.321,4,1,Strong,10,0.0,1.0,15.0,,,MODERATE,Metabolic abnormality requiring monitoring and underlying cause investigation,MODERATE,llm_only
amlodipine,negative_control,neg,BLOOD LACTIC ACID INCREASED,21,5731,339,1403196,1.469338750729979,5752,360,1409287,15.45,15.5042,10.0187,23.9931,247.5557,8.857752006000304e-56,6.710418186363867e-55,1,13.5015,9.3142,19.0553,3.4486,2.8315,4,1,Strong,29,0.034482758620689655,0.9655172413793104,33.0,SEVERE,SEVERE,MODERATE,Lactate elevation requiring monitoring for metabolic acidosis,SEVERE,conservative
amlodipine,negative_control,neg,BLOOD MERCURY ABNORMAL,6,5746,2,1403533,0.03265197223844398,5752,8,1409287,634.3114,635.0278,147.642,2731.3391,919.2268,6.4891898975754185e-202,1.150427295543719e-200,1,49.5072,24.3489,91.9495,3.6092,2.4548,4,1,Strong,6,0.0,0.0,59.0,,,MODERATE,Heavy metal toxicity requiring monitoring and potential chelation,MODERATE,llm_only
amlodipine,negative_control,neg,BLOOD PHOSPHORUS INCREASED,30,5722,180,1403355,0.8571142712591544,5752,210,1409287,41.2242,41.4385,28.2084,60.8739,961.2486,4.75975054271211e-211,8.721282050311008e-210,1,31.7384,23.2995,42.4295,4.4902,3.9739,4,1,Strong,46,0.5106382978723404,0.6170212765957447,80.0,FATAL,FATAL,MODERATE,Electrolyte abnormality requiring monitoring and dietary management,FATAL,conservative
amlodipine,negative_control,neg,BLOOD PRESSURE ABNORMAL,42,5710,1884,1401651,7.860962316405388,5752,1926,1409287,5.502,5.5355,4.0798,7.5106,144.7377,2.4508430004634897e-33,1.394673389538444e-32,1,5.2886,4.0771,6.7684,2.3457,1.9094,4,1,Moderate,160,0.049689440993788817,0.39751552795031053,68.0,MILD,MILD,MODERATE,BP deviation requiring medication adjustment and cardiovascular monitoring,MODERATE,conservative
amlodipine,negative_control,neg,BLOOD PRESSURE DECREASED,110,5642,4635,1398900,19.366701033927086,5752,4745,1409287,5.8156,5.9099,4.885,7.1499,422.6256,6.545724536577611e-94,6.847477795356011e-93,1,5.6561,4.8231,6.5989,2.4756,2.206,4,1,Moderate,315,0.05956112852664577,0.4608150470219436,70.0,MILD,MILD,MODERATE,Hypotension requiring medication adjustment and monitoring,MODERATE,conservative
amlodipine,negative_control,neg,BLOOD PRESSURE DIASTOLIC DECREASED,34,5718,866,1402669,3.6733468768249478,5752,900,1409287,9.7136,9.7662,6.9425,13.7382,243.3328,7.379312167865423e-55,5.539178344835368e-54,1,9.0481,6.7711,11.8918,3.0473,2.5624,4,1,Moderate,95,0.07368421052631578,0.5473684210526316,62.0,MILD,MILD,MODERATE,Diastolic hypotension requiring cardiovascular monitoring and adjustment,MODERATE,conservative
amlodipine,negative_control,neg,BLOOD PRESSURE FLUCTUATION,48,5704,1818,1401717,7.616072524617058,5752,1866,1409287,6.5067,6.5535,4.9216,8.7263,209.9986,1.3745895699676463e-47,9.523342488033246e-47,1,6.2353,4.8901,7.8574,2.5791,2.171,4,1,Moderate,204,0.04878048780487805,0.44878048780487806,63.0,MILD,MILD,MODERATE,BP instability requiring frequent monitoring and medication adjustment,MODERATE,conservative
amlodipine,negative_control,neg,BLOOD PRESSURE INADEQUATELY CONTROLLED,17,5735,124,1403411,0.5754910107025751,5752,141,1409287,34.2924,34.394,20.8392,56.7655,442.4999,3.0929154253919025e-98,3.3372715818968954e-97,1,25.6331,16.9441,37.5224,4.0243,3.3385,4,1,Strong,35,0.02857142857142857,0.34285714285714286,67.0,MILD,MILD,MODERATE,Poor BP control requiring medication optimization and monitoring,MODERATE,conservative
amlodipine,negative_control,neg,BLOOD PRESSURE INCREASED,297,5455,12343,1391192,51.590116136741486,5752,12640,1409287,5.88,6.1461,5.4619,6.9161,1177.9724,3.7372358397239214e-258,7.897453959301984e-257,1,5.7478,5.2197,6.3173,2.5138,2.3497,4,1,Moderate,1183,0.03645401822700911,0.44656172328086163,65.0,MILD,MILD,MODERATE,Requires medical attention and medication adjustment but not immediately life-threatening,MODERATE,conservative
amlodipine,negative_control,neg,BLOOD PRESSURE SYSTOLIC ABNORMAL,18,5734,440,1403095,1.8693254106509178,5752,458,1409287,10.246,10.2758,6.4489,16.3738,131.2768,2.1538198498148418e-30,1.1645470229020864e-29,1,9.2135,6.164,13.3498,2.965,2.2985,4,1,Moderate,105,0.08571428571428572,0.49523809523809526,61.0,MILD,MILD,MODERATE,Abnormal lab/vital requiring monitoring and potential intervention,MODERATE,conservative
amlodipine,negative_control,neg,BLOOD PRESSURE SYSTOLIC INCREASED,69,5683,2303,1401232,9.68130976869864,5752,2372,1409287,7.3608,7.4386,5.8511,9.4567,359.4218,3.7626534226694844e-80,3.566782646810726e-79,1,7.0666,5.7743,8.5773,2.7711,2.4307,4,1,Moderate,328,0.09036144578313253,0.4789156626506024,65.0,MILD,MILD,MODERATE,Requires medical attention and medication adjustment but not immediately life-threatening,MODERATE,conservative
amlodipine,negative_control,neg,BLOOD TRIGLYCERIDES INCREASED,27,5725,930,1402605,3.905992179023861,5752,957,1409287,7.2102,7.24,4.9505,10.5883,131.3186,2.108865495088926e-30,1.1414960019288683e-29,1,6.7694,4.8849,9.1874,2.6419,2.0977,4,1,Moderate,56,0.017543859649122806,0.2631578947368421,60.0,MILD,MILD,MODERATE,Abnormal lab value requiring monitoring and potential treatment,MODERATE,conservative
